,Brand,Model,Price,Location,Engine,Model Year,Fuel Type
246,BMW,BMW G 310 R ,"2,75,100",mumbai, 310 R,2019,petrol
247,Benelli,Benelli TNT 600 GT ,"4,25,900",mumbai, 600,2016,petrol
248,Ducati,Ducati Diavel 1200cc ,"7,58,700",mumbai, 1200cc,2015,petrol
249,Kawasaki,Kawasaki Vulcan S 650cc ,"4,93,500",mumbai, 650cc,2018,petrol
250,Triumph,Triumph Tiger Explorer ,"9,09,500",mumbai,,2015,petrol
251,Kawasaki,Kawasaki Ninja 400 ,"4,41,500",mumbai, 400,2019,petrol
252,BMW,BMW G 310 GS BS6 ,"2,69,900",mumbai, 310 GS,2020,petrol
253,Royal,Royal Enfield Interceptor 650cc ,"3,01,100",mumbai, 650cc,2019,petrol
254,Triumph,Triumph Bonneville T100 900cc ,"8,31,500",mumbai, 900cc,2020,petrol
255,Triumph,Triumph Street Twin 900cc ,"7,27,500",mumbai, 900cc,2019,petrol
256,Benelli,Benelli TNT 600i ,"5,97,500",mumbai, 600i,2018,petrol
257,Royal,Royal Enfield Continental GT 650cc ,"3,10,460",mumbai, 650cc,2020,petrol
258,Royal,Royal Enfield Interceptor 650cc ,"3,01,100",mumbai, 650cc,2019,petrol
259,Royal,Royal Enfield Interceptor 650cc ,"2,44,500",bangalore, 650cc,2019,petrol
260,Royal,Royal Enfield Interceptor 650cc ,"2,39,200",mumbai, 650cc,2019,petrol
261,Harley-Davidson,Harley-Davidson 1200 Custom ,"7,28,000",mumbai, 120,2018,petrol
262,Royal,Royal Enfield Interceptor 650cc ,"2,85,000",bangalore, 650cc,2019,petrol
263,Royal,Royal Enfield Interceptor 650cc ,"2,90,000",bangalore, 650cc,2019,petrol
264,Royal,Royal Enfield Continental GT 650cc ,"3,00,000",bangalore, 650cc,2019,petrol
265,Royal,Royal Enfield Continental GT 650cc ,"2,85,500",mumbai, 650cc,2019,petrol
266,Harley-Davidson,Harley-Davidson Street 750 ABS ,"3,99,900",mumbai, 750 ABS,2018,petrol
267,Kawasaki,Kawasaki Ninja 300cc ,"2,33,500",mumbai, 300cc,2016,petrol
268,Kawasaki,Kawasaki Ninja 650cc ,"2,43,900",mumbai, 650cc,2013,petrol
269,Harley-Davidson,Harley-Davidson Fat Bob ,"6,25,000",mumbai,,2014,petrol
270,Triumph,Triumph Bonneville T100 900cc ,"3,89,500",mumbai, 900cc,2015,petrol
271,Triumph,Triumph Street Triple 675cc ,"4,67,500",mumbai, 675cc,2015,petrol
272,Harley-Davidson,Harley-Davidson Street 750 ,"4,25,900",mumbai, 750,2019,petrol
273,Kawasaki,Kawasaki Z900 ,"8,83,500",mumbai,,2019,petrol
274,Hyosung,Hyosung Aquila Pro GV650 ,"2,85,500",mumbai,,2020,petrol
275,BMW,BMW G 310 R ,"2,43,900",mumbai, 310 R,2019,petrol
276,Benelli,Benelli TNT 600i ,"4,67,500",mumbai, 600i,2018,petrol
277,Harley-Davidson,Harley-Davidson Fat Boy ,"9,87,500",mumbai,,2014,petrol
278,Kawasaki,Kawasaki Versys 650cc ,"6,49,500",mumbai, 650cc,2018,petrol
279,Kawasaki,Kawasaki Versys 650cc ,"6,24,500",mumbai, 650cc,2018,petrol
280,Harley-Davidson,Harley-Davidson Iron 883 ,449500₹,bangalore, 883,2014,petrol
281,Royal,Royal Enfield Interceptor 650cc BS6 ,"2,81,500",bangalore, 650cc,2020,petrol
282,Royal,Royal Enfield Interceptor 650cc ,"2,54,500",bangalore, 650cc,2019,petrol
283,Royal,Royal Enfield Continental GT 650cc ,"3,05,710",mumbai, 650cc,2020,petrol
284,Harley-Davidson,Harley-Davidson XG750 750cc ,"4,65,500",hyderabad, 750cc,2018,petrol
285,Kawasaki,Kawasaki Ninja 650cc ,"4,92,550",mumbai, 650cc,2020,petrol
286,Kawasaki,Kawasaki Ninja 300 ABS ,"3,10,900",mumbai, 300 ABS,2019,petrol
287,Royal,Royal Enfield Interceptor 650cc ,"2,43,430",mumbai, 650cc,2019,petrol
